,N2O,pH,MAT,Bacterial_amoA,Archaeal_amoA
Bashkortostan_drained_fen,1.267289089,6.755,4.2,6.335,7.955
Bashkortostan_drained_floodplain_1,1.467953234,4.456666667,4.3,8.53,7.153333333
Bashkortostan_drained_floodplain_2,2.190583796,3.821111111,4.3,7.413333333,6.193333333
Bashkortostan_fen,1.174834815,6.142222222,4.1,6.486666667,5.683333333
Borneo_drained_swamp,2.43336441,2.168333333,27.14166667,1,7.8175
Borneo_swamp_forest,1.947482737,2.303333334,27.1,1,8.1125
Brazil_drained_floodplain,1.455656815,5.902222222,21.3,6.366666667,8.043333333
Brazil_floodplain,1.290034611,6.317777778,21.3,5.3,8.66
California_drained_fen,1.928651847,5.736666667,16.7,8.05,7.68
California_fen,1.189490314,5.356666667,16.7,4.67,7.74
Catalonia_transitional_bog,1.328379603,4.182222222,5.4,4.343333333,3.66
Colombia_drained_paramo,1.15896526,3.941111111,11.1,6.036666667,7.226666667
Colombia_paramo,1.180794682,3.455555555,9.5,5.69,5.753333333
Estonia_drained_floodplain,1.953034457,6.451111111,5.7,7.48,8.006666667
Estonia_floodplain,1.393224116,5.18,5.7,7.183333333,7.806666667
Finland_drained_fen,1.151625182,3.37,0.1,6.466666667,4.891666667
Finland_fen,1.167415803,3.853333333,0.1,5.283333333,4.16
Florida_restored_wetland_dry,1.372543801,7.13,23.3,5.31,6.62
Florida_restored_wetland_wet,1.503518313,5.673333333,23.3,3.7,5.84
Florida_swamp_forest_1,1.497793229,5.403333333,23.3,4.555,7.8025
Florida_swamp_forest_2,1.201874859,5.426666667,23.3,6.46,7.945
Florida_tomato_field,1.305351369,5.553333333,23.3,5.99,7.4
France_transitional_bog_1,1.186391216,3.226666667,11.6,5.2,6.615
France_transitional_bog_2,1.172018809,3.328333334,11.6,6.635,6.945
French_Pyrenees_fen,1.630020851,4.646666667,6.8,7.99,1
Iceland_drained_fen,1.166504118,3.96,4.5,3.582857143,1.75
Khabarovsk_drained_fen,1.176091259,3.78,2.2,6.65,7.53
Khabarovsk_fen,1.176091259,3.861694444,2.2,7.78,5.45
Kyrgyzstan_drained_fen,1.192567453,7.095,-1.1,6.72,6.35
Kyrgyzstan_fen_1,1.167021796,5.926666667,-0.9,5.1,2.91
Kyrgyzstan_fen_2,1.17868924,6.333333333,-2.1,5.63,3.26
Mexico_chinampa_1,1.585986828,7.068888889,16.7,7.123333333,7.826666667
Mexico_chinampa_2,1.730001243,7.498888889,16.7,7.996666667,8.066666667
Mexico_fen,1.279742969,7.141111111,16.7,7.256666667,7.31
Montana_Bog_1,1.148602655,4.782222222,4.1,4.136666667,3.606666667
Montana_bog_2,1.17016389,6.243333333,6.8,6.796666667,7.216666667
Morocco_bog_1,1.113274692,4.256666667,17.9,5.42,6.42
Morocco_bog_2,1.178593295,3.794444444,15.1,4.78,7.613333333
Myanmar_drained_fen_1,2.169953492,7.240833334,22.9,6.7825,7.4125
Myanmar_drained_fen_2,1.775853071,6.424444444,22.9,7.063333333,8.376666667
Myanmar_fen,1.279324665,6.763333334,22.9,7.12,8.45
New_Zealand_drained_fen_1,1.952259537,4.236666667,15.2,7.24,8
New_Zealand_fen_1,1.204662512,3.61,15.2,4.26,1
New_Zealand_fen_2,1.253459164,4.251666667,10.7,6.735,6.54
Pantanal_pasture_1,1.168644777,4.381666667,26.5,1,5.9
Pantanal_pasture_2,1.170555059,3.926666667,26.5,1,6.245
Pantanal_pasture_3,1.771587481,3.741666667,26.4,1,6.545
Pantanal_swamp_forest,1.169821329,3.962513889,26.5,1,5.035
Quebec_drained_bog,1.895477796,5.01,7.6,7.886666667,7.426666667
Romania_bog_1,1.177728836,2.546666667,5.9,4.9,1
Romania_bog_2,1.176669933,2.554444445,5.9,4.843333333,1
Romania_bog_forest_1,1.18591972,3.573333333,5.9,4.813333333,4.873333333
Romania_bog_forest_2,1.267953537,2.887777778,5.9,5.596666667,5.79
Siberia_bog,1.168006144,2.723333334,-0.6,3.096666667,3.423333333
Siberia_bog_forest,1.167391188,2.585,-0.6,3.4625,1.8275
Siberia_fen,1.178976947,4.073333334,-0.6,6.135,5.705
Taiwan_fen,1.146438135,4.003333334,23.3,5.78,8.11
Taiwan_recreation,1.143951116,3.876666667,23.3,5.885,7.015
Tasmania_blanket_bog,1.178976947,2.861111111,10.2,4.536666667,1.796666667
Tasmania_drained_fen_1,1.367542274,4.166666667,13.2,6.76,5.71
Tasmania_drained_fen_2,1.406199424,5.765,13.1,8.22,6.96
Tasmania_fen,1.203576775,5.38,13.1,6.92,7.3
Tasmania_raised_bog,1.170750511,3.656666667,8.2,5.465,5.395
Tierra_del_Fuego_bog,1.217167979,2.97,5.3,4.208,4.598
Tierra_del_Fuego_fen,1.176091259,5.250666667,5.3,5.566,4.68
Uganda_drained_fen_1,2.680548528,5.126666667,18.3,7.02,8.59
Uganda_drained_fen_2,2.331751125,4.564166667,17.9,6.96,8.1825
Uganda_fen,1.466645228,3.923333334,18.3,5.935,8.445
Uganda_rice_paddy,2.754124632,4.721666667,22.6,5.606666667,6.98
Wales_blanket_bog,1.176091259,2.953333334,7.6,6.005,8.055
Wales_drained_bog,1.176091259,2.836666667,7.6,6.705,7.715
Wales_fen,1.176091259,3.888333334,7.9,5.825,7.135
